id,constituency_name,inec_code,constituency_type,composition,collation_centre,state_id,state_inec_code,state_name,cscdb_country_id,cscdb_country_code,cscdb_country_name,parent_constituency_id,parent_constituency_name,parent_constituency_inec_code
1,ABA NORTH,SC/01/AB,State Constituency,Part of the LGA,,1,AB,ABIA STATE,161,NG,Nigeria,988,Aba North/Aba South,FC/001/AB
2,ABA SOUTH,SC/02/AB,State Constituency,Part of the LGA,,1,AB,ABIA STATE,161,NG,Nigeria,988,Aba North/Aba South,FC/001/AB
3,ABA CENTRAL,SC/03/AB,State Constituency,Part of the LGA,,1,AB,ABIA STATE,161,NG,Nigeria,988,Aba North/Aba South,FC/001/AB
4,AROCHUKWU,SC/04/AB,State Constituency,The entire LGA,,1,AB,ABIA STATE,161,NG,Nigeria,989,Arochukwu/Ohafia,FC/002/AB
5,BENDE NORTH,SC/05/AB,State Constituency,Ward 01 – 06,,1,AB,ABIA STATE,161,NG,Nigeria,990,Bende,FC/003/AB
6,BENDE SOUTH,SC/06/AB,State Constituency,Ward 07 – 10,,1,AB,ABIA STATE,161,NG,Nigeria,990,Bende,FC/003/AB
7,IKWUANO,SC/07/AB,State Constituency,The entire LGA,,1,AB,ABIA STATE,161,NG,Nigeria,994,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB
8,ISIALA NGWA NORTH,SC/08/AB,State Constituency,The entire LGA,,1,AB,ABIA STATE,161,NG,Nigeria,991,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB
9,ISIALA NGWA SOUTH,SC/09/AB,State Constituency,The entire LGA,,1,AB,ABIA STATE,161,NG,Nigeria,991,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB
10,ISUIKWUATO,SC/10/AB,State Constituency,The entire LGA,,1,AB,ABIA STATE,161,NG,Nigeria,992,Isuikwuato/Umu-Nneochi,FC/005/AB
11,OBINGWA EAST,SC/11/AB,State Constituency,Ward 01 – 05,,1,AB,ABIA STATE,161,NG,Nigeria,993,Obingwa/Ugwunagbo/Osisioma,FC/006/AB
12,OBINGWA WEST,SC/12/AB,State Constituency,Ward 06 – 10,,1,AB,ABIA STATE,161,NG,Nigeria,993,Obingwa/Ugwunagbo/Osisioma,FC/006/AB
13,OHAFIA NORTH,SC/13/AB,State Constituency,Ward 01 – 06,,1,AB,ABIA STATE,161,NG,Nigeria,989,Arochukwu/Ohafia,FC/002/AB
14,OHAFIA SOUTH,SC/14/AB,State Constituency,Ward 07 – 11,,1,AB,ABIA STATE,161,NG,Nigeria,989,Arochukwu/Ohafia,FC/002/AB
15,OSISIOMA NORTH,SC/15/AB,State Constituency,Ward 09 – 13,,1,AB,ABIA STATE,161,NG,Nigeria,993,Obingwa/Ugwunagbo/Osisioma,FC/006/AB
16,OSISIOMA SOUTH,SC/16/AB,State Constituency,Ward 01 – 08,,1,AB,ABIA STATE,161,NG,Nigeria,993,Obingwa/Ugwunagbo/Osisioma,FC/006/AB
17,UMUNNEOCHI,SC/17/AB,State Constituency,The entire LGA,,1,AB,ABIA STATE,161,NG,Nigeria,992,Isuikwuato/Umu-Nneochi,FC/005/AB
18,UGWUNA AGBO L.G.A,SC/18/AB,State Constituency,The entire LGA,,1,AB,ABIA STATE,161,NG,Nigeria,993,Obingwa/Ugwunagbo/Osisioma,FC/006/AB
19,UKWA EAST,SC/19/AB,State Constituency,The entire LGA,,1,AB,ABIA STATE,161,NG,Nigeria,995,Ukwa East/Ukwa West,FC/008/AB
20,UKWA WEST,SC/20/AB,State Constituency,The entire LGA,,1,AB,ABIA STATE,161,NG,Nigeria,995,Ukwa East/Ukwa West,FC/008/AB
21,UMUAHIA EAST,SC/21/AB,State Constituency,Ward 05 – 08,,1,AB,ABIA STATE,161,NG,Nigeria,994,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB
22,UMUAHIA WEST,SC/22/AB,State Constituency,"Ward 02 – 04, 10 & 11",,1,AB,ABIA STATE,161,NG,Nigeria,994,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB
23,UMUAHIA CENTRAL,SC/23/AB,State Constituency,"Ward 01, 09 & 12",,1,AB,ABIA STATE,161,NG,Nigeria,994,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB
24,UMUAHIA SOUTH,SC/24/AB,State Constituency,The entire LGA,,1,AB,ABIA STATE,161,NG,Nigeria,994,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB
25,YOLA SOUTH,SC/25/AD,State Constituency,"ABARAWO, BAKO,BOLE/YOLDE PATE,NAMATARI,NGURORE,MAKAMA’A’,MAKAMA’B’,MBANMBA,MBAMOI,TOUNGO,YOLDE KOHI",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
26,YOLA NORTH,SC/26/AD,State Constituency,"ALKALAWA,AJIYA,DOUBELI,GWADAWA,JAMBULU,KAREWA,LIMAWA,LUGGERE,NASSARAWO,RUMDE,YELWA",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
27,MUBI NORTH,SC/27/AD,State Constituency,"BAHULI,BETSO,DIGIL,KOLERE,LOKUWA,MAYO-BANI,MIJILU,MUCHALA,SABON-LAYI,VIMTIM,YELWA",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
28,MUBI SOUTH,SC/28/AD,State Constituency,"DIRBISHI,DUVU/CHABA/GIRBURUM,GELLA,GUDE,KWAJA,LAMORDE,MUJARA,MUGULBU/YADAFA,NASSARAWO,NDUKU",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
29,DEMSA,SC/29/AD,State Constituency,"GENGLE,M/BELWA,NDIKONG,RIBADU,YOFFO",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
30,NUMAN,SC/30/AD,State Constituency,"BARE,BOLKI,GAMADIO,IMBURU,KODOMTI,NUMAN I,NUMAN II,NUMAN II,SABON PEGI VULPI",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
31,LAMURDE,SC/31/AD,State Constituency,"DUBWANGUN,GYAWANA,LAFIYA,LAMURDE,NGBAKOWO,NGBEBONGON,OPALO,RIGANGE,SUWA,WADUKU",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
32,SONG,SC/32/AD,State Constituency,"DIRMA,DUMNE,GUDU MBOI,KILANGE FUNA,KILANGE GIRNA,SIGIRE,SUKTU,SONG GARI,SONG WAJE,WALTANDI,ZUMO",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
33,GIREI,SC/33/AD,State Constituency,"DAKRI,DAMARRE,GIREI I,GIREI II, GERENG, JERA BAKARI,JERE BONYO,MODIRE/VINIKILANG,TAMBO,WURO DOLE",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
34,GANYE,SC/34/AD,State Constituency,"BAKARI GUSO,GAMU,GANYE I, GANYE II,GURUM,JAGGU,SANASSUMI,SUGU,TIMDORE,YEBBI",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
35,TOUNGO,SC/35/AD,State Constituency,"DAWO I,DAWO II,GUMTI,KIRI I,KIRI II,KOGIN BABA I KOGIN BABA II, TOUNGO I,TOUNGO,TOUNGO II",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
36,KOMA/LEKO,SC/36/AD,State Constituency,"KOMAI I,KOMAI II,LEKO, MAPEO, YELLI",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
37,JADA/MBULO,SC/37/AD,State Constituency,"DANABA,JADA I,JADA II,MAYOKALAYE,MBULO,NYIBANGO",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
38,FUFORE/GURIN,SC/38/AD,State Constituency,"BETI,FARANG,FUFORE,GURIN PARIYA,RIBADU,WURO BOKKI",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
39,VERRE,SC/39/AD,State Constituency,"KARLAHI,MAYO-INE,UKI TUKI,YADIM",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
40,UBA/GAYA,SC/40/AD,State Constituency,"GARAHA,GAYA/SILKAMI,HILDI,KWARHI,MAYO LOPE,UBA",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
41,HONG,SC/41/AD,State Constituency,"BANSHIKA,DAKSIRI,HONG,HUSHERE ZUM,SHANGUI,THILBANG",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
42,NASSARAWA/BINYERI,SC/42/AD,State Constituency,"GANFADA,BINYERI,GOROBI,MAYO-FARANG,N/JERENG,BAJAMA,TOLA",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
43,MAYO-BELWA,SC/43/AD,State Constituency,"GENGLE,MAYO-BELWA,NDIKONG,RIBADU,YOFFO",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
44,GOMBI,SC/44/AD,State Constituency,"BOGA,DUWA,GA’ANDA,GUBAN,GARKIDA,GOMBI NORTH GOMBI SOUTH,GUYAKU,TAWA,YANGE",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
45,SHELLENG,SC/45/AD,State Constituency,"BAKTA,BADWAI,GUNDO/,GWAPOPOLOK,JUMBUL,KETEMBERE,KIRI,LIBBO,SHELLENG,TALLUM",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
46,MADAGALI,SC/46/AD,State Constituency,"BEBEL,DUHU/SHUWA,GULAK,HYAMBULA,K/WURO NGAYANDI,MADAGALI,PALLAM,SHELMI/VAPURA/SUKAR,WAGGA,WULA",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
47,MAIHA,SC/47/AD,State Constituency,"BELEL,HUMBUTUDI,KONKOL,MAIHA GARI,MANJEKIN,MAYO NGULI,PAKKA,SORAU’A’,SORAU’B’ TAMBAJAM",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
48,MICHIKA,SC/48/AD,State Constituency,"BAZZA MARGI,FUTUDOU/FUTULES,GARTA/GHUMCHI,JIGAALBU,MADZI,MICHIKA I,MICHAKA II, MINKISI/WUROGINKI,MODA/DLAKA,GHENJUWA,MUNKAVICITA,SINA KWANDE,THUKUDOU/SUFUKU/ZAH,TSUKUMMU/TILLIJO,TUMBARA/NGABILI",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
49,GUYUK,SC/49/AD,State Constituency,"BANJIRAM,BOBINI,BODENO,CHIKILA,DUKUL,DUMNA,GUYUK,KOLA,LOKORO,PUROKAYO",,2,AD,ADAMAWA STATE,161,NG,Nigeria,,,
50,AGUATA I,SC/76/AN,State Constituency,"Nine RAs of Aguta LGA (Achina I, Achina II, Akpo, Amesi, Nkpologwu, Uga I, Uga II, Umuchu I & Umuchu II)",,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
51,AGUATA II,SC/77/AN,State Constituency,"Eleven RAs of Aguta LGA (Aguluezechukwu, Ekwulobia I, Ekwulobia II, Ezinifite I, Ezinifite II, Igboukwu I, Igboukwu II, Ikenga, Isuofia, Oraeri & Umuona)",,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
52,ANAMBRA EAST,SC/78/AN,State Constituency,The entire area of Anambra East LGA,,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
53,ANAMBRA WEST,SC/79/AN,State Constituency,The entire area of Anambra West LGA,,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
54,ANAOCHA I,SC/80/AN,State Constituency,"Ten RAs of Anaocha LGA (Adazi Ani I, Adazi Ani II, Adazi Enu I, Adazi Enu II, Adazi Nnukwu I, Adazi Nnukwu II, Agulu I, Agulu II, Agulu III & Agulu IV)",,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
55,ANAOCHA II,SC/81/AN,State Constituency,"Nine RAs of Anaocha LGA (Agulu Uzoigbo, Akwaeze, Ichida I, Ichida II, Neni I, Neni II, Nri I, Nri II & Obeledu)",,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
56,AWKA NORTH,SC/82/AN,State Constituency,The entire area of Awka North LGA,,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
57,AWKA SOUTH I,SC/83/AN,State Constituency,"Nine RAs of Awka South LGA (Agu Oka, Awka I, Awka II, Awka III, Awka IV, Awka V, Awka VI, Awka VII & Okpuno)",,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
58,AWKA SOUTH II,SC/84/AN,State Constituency,"Eleven RAs of Awka South LGA (Amawbia I, Amawbia II, Amawbia III, Ezinato/Isiagu, Mbaukwu, Nibo I, Nibo II, Nibo III, Nise I, Nise II & Umuawulu)",,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
59,IDEMILI SOUTH,SC/85/AN,State Constituency,The entire area of Idemili South LGA,,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
60,IDEMILI NORTH,SC/86/AN,State Constituency,The entire area of Idemili North LGA,,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
61,IHIALA I,SC/87/AN,State Constituency,"Nine RAs of Ihiala LGA (Amamu AI, Amamu BII, Amorka, Ihite, Ogbolo, Uli I, Uli II, Uli III & Uzoawka)",,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
62,IHIALA II,SC/88/AN,State Constituency,"Eleven RAs of  Ihiala LGA (Azia, Isseke, Okija I – V, Orsumoghu, Ubuluisiuzor, Lilu Mbosi",,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
63,NJIKOKA I,SC/89/AN,State Constituency,"Eight RAs of Njikoka LGA (Enugwu- Agidi I & II, Enugwu-Ukwu I – IV, Nawfia I & II) ",,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
64,NJIKOKA II,SC/90/AN,State Constituency,"Ten RAs of Njikoka LGA (Abba I & II, Abagana I – IV, Nimo I – IV)",,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
65,NNEWI NORTH,SC/91/AN,State Constituency,The entire area of Nnewi North LGA,,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
66,NNEWI SOUTH I,SC/92/AN,State Constituency,"Nine RAs of Nnewi South LGA (Amichi I –III, Azigbo, Ekwulumili, Osumenyi I & II, Unubi & Utuh)",,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
67,NNEWI SOUTH II,SC/93/AN,State Constituency,"Eleven RAs of Nnewi South LGA (Ebenator, Akwa Ihedi, Ezinifite I – III, Ukpor I – VI)",,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
68,EKWUSIGO,SC/94/AN,State Constituency,The entire area of Ekwusigo LGA,,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
69,OGBARU I,SC/95/AN,State Constituency,Six RAs of Ogbaru LGA (Okpoko I – VI),,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
70,OGBARU II,SC/96/AN,State Constituency,"Ten RAs of  Ogbaru LGA (Akili Ogidi Obagwe, Akili Ozizor, Atani I & II, Iyowa-Odekpe- Ohita, Ochuche Ogbakuba Amiri, Ogwuaniocha, Ogwuikpele, Ossomala & Umunankwo-Mputu)",,4,AN,ANAMBRA STATE,161,NG,Nigeria,,,
