id,name,address,inec_code,state_name,state_id,state_inec_code,cscdb_country_id,cscdb_country_code,cscdb_country_name
1,Aba North,"C/O Local Government Council Secretariat, Eziama, Aba North",,ABIA STATE,1,AB,161,NG,Nigeria
2,Aba South,"C/O Local Government Council Secretariat, Beside Chairman's Office",,ABIA STATE,1,AB,161,NG,Nigeria
3,Arochukwu,"Local Government Area Secretariat, Complex-Barracks Road, Nkwunabo Amanagwu, Arochukwu",,ABIA STATE,1,AB,161,NG,Nigeria
4,Bende,"C/O Local Government Area Secretariat,  Bende",,ABIA STATE,1,AB,161,NG,Nigeria
5,Ikwano,"Local Government Council Secretariat, Isiala Oboro Ikwuano",,ABIA STATE,1,AB,161,NG,Nigeria
6,Isiukwuato,"C/O Local Government Council Secretariat,  Mbalano, Isiukwuato, Isiukwuato",,ABIA STATE,1,AB,161,NG,Nigeria
7,Isiala Ngwa North,"C/O Local Government Council Secretariat,  Obikabia, Okpuala Ngwa",,ABIA STATE,1,AB,161,NG,Nigeria
8,Isiala Ngwa South,"Umuoba Council Secretariat, Isiala Ngwa",,ABIA STATE,1,AB,161,NG,Nigeria
9,Ohafia,"Opposite Ohafia Girls Secondary School Village, Amaekpu, Ohafia",,ABIA STATE,1,AB,161,NG,Nigeria
10,Osisioma,"C/O Local Government Council Secretariat,  Osisioma",,ABIA STATE,1,AB,161,NG,Nigeria
11,Ugwunagbo,"C/O Local Government Council Secretariat,  Osusu-Aku, Ugwunagbo",,ABIA STATE,1,AB,161,NG,Nigeria
12,Ukwa East,"C/O Local Government Council Secretariat,  Along Akwaaete Road, Akwaete",,ABIA STATE,1,AB,161,NG,Nigeria
13,Ukwa West `,"C/O Local Government Council Secretariat,  Oke-Ikpe",,ABIA STATE,1,AB,161,NG,Nigeria
14,Umuahia North,"No 5 Adelabu Street, Umuahia",,ABIA STATE,1,AB,161,NG,Nigeria
15,Umuahia South,"C/O Local Government Council Secretariat,  Apumiri Ubakala, Umuahia South",,ABIA STATE,1,AB,161,NG,Nigeria
16,Obi-Ngwa,"C/O Local Government Council Secretariat,  Amuzu Ohanze Eastern Ngwa",,ABIA STATE,1,AB,161,NG,Nigeria
17,Umunneochi,"C/O Local Government Council Secretariat,  Nkwoagwu Isuochi, Umunneochi",,ABIA STATE,1,AB,161,NG,Nigeria
18,Demsa,"Along Gombe Road, Demsa Town, Demsa Local Govt. Area",,ADAMAWA STATE,2,AD,161,NG,Nigeria
19,Fufore,"Gurin Road, Adjacent Local Govt. Guest House, Fufore Local Govt. Area",,ADAMAWA STATE,2,AD,161,NG,Nigeria
20,Ganye,"Along Federal Government College, Ganye Road, Ganye Lga",,ADAMAWA STATE,2,AD,161,NG,Nigeria
21,Girei,"Adjacent Local Govt. Guest Road, Girei Local Govt. Area",,ADAMAWA STATE,2,AD,161,NG,Nigeria
22,Gombi,"Sangere Gombi, Aong Yola Road, Gombi L.G.A",,ADAMAWA STATE,2,AD,161,NG,Nigeria
23,Guyukk,"Palamale Nepa Ward Guyuk Town, Guyuk Local Govt. Area",,ADAMAWA STATE,2,AD,161,NG,Nigeria
24,Hong,"Opposite Cottage Hospital Shangui Ward, Hong Local Govt. Area",,ADAMAWA STATE,2,AD,161,NG,Nigeria
25,Jada,"Old Secretariat, Jada Along Ganye Road, Jada",,ADAMAWA STATE,2,AD,161,NG,Nigeria
26,Lamurde,"Lafiya Lamurde Road, Lamurde Local Govt. Area",,ADAMAWA STATE,2,AD,161,NG,Nigeria
27,Madagali,"Palace Road, Gulak, Near Gulak Police Station, Madagali Lga",,ADAMAWA STATE,2,AD,161,NG,Nigeria
28,Maiha,"Behind Local Govt. Secretariat, Mayonguli Ward, Maiha",,ADAMAWA STATE,2,AD,161,NG,Nigeria
29,Mayo Belwa,Jalingo Road Near Maternity Mayo Belwa Lga,,ADAMAWA STATE,2,AD,161,NG,Nigeria
30,Michika,Michika Bye-Pass Zaibadari Ward Michika Lga,,ADAMAWA STATE,2,AD,161,NG,Nigeria
31,Mubi North,"Inside Local Govt. Secretariat, Mubi North",,ADAMAWA STATE,2,AD,161,NG,Nigeria
32,Mubi South,"Lumore Street, Opposite District Head's Palace, Gela, Mubi South",,ADAMAWA STATE,2,AD,161,NG,Nigeria
33,Numan,"Councilors Quarters, Off Jalingo Road, Numan Lga",,ADAMAWA STATE,2,AD,161,NG,Nigeria
34,Toungo,"Barade Road, Oppoiste Sss Office, Toungo",,ADAMAWA STATE,2,AD,161,NG,Nigeria
35,Shellenge,"Old Local Govt Secretariat Street, Shelleng Town, Shelleng Lga",,ADAMAWA STATE,2,AD,161,NG,Nigeria
36,Song,"Opp. Cattage Hospital Yola Road, Song Local Govt. Area",,ADAMAWA STATE,2,AD,161,NG,Nigeria
37,Yola North,"No. 7 Demsawo Street, Demsawo Ward, Yola North Lga",,ADAMAWA STATE,2,AD,161,NG,Nigeria
38,Yola South,"Yola Bye-Pass Fufore Road Opp. Aliyu Mustapha College, Bako Ward, Yola Town, Yola South Lga",,ADAMAWA STATE,2,AD,161,NG,Nigeria
39,Abak,"Old Party Secretariat, Stadium Road, Abak Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
40,Easthern Obolo,"Okoro Mboho Community, Eastern Obolo",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
41,Eket,"Former Party House, Oron Road, Eket Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
42,Esit Eket,"Old Party Secretariat, Ikpa, Esit Eket Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
43,Essien Udim,"Former Party Office, Ikot Ebak, Essien Udim Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
44,Etim Ekpo,"Lga Secretariat, Ika Road, Utu Etim Ekpo Etim",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
45,Etinan,"77 Hospital Road, Etinan, Etinan",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
46,Ibeno,"Low Cost Housing Estate, Upenekang, Ibeno Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
47,Ibesikpo Asutan,"Eket Road, Mbak Ekpe, Ibesikpo, Autan Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
48,Ibiono Ibom,"Hosing Estate, Oko Ita, Ibiono Ibom Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
49,Ika,"Urua Inyang, Ika Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
50,Ikono,"Ibiaku Ntok Okpo, Ikono Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
51,Ikot Abbi,"14 Uac Road, Ikot Abasi",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
52,Ikot Ekpene,"Obong Attah Low Cost Housing Estate, Off Aba Road, Ikot Ekpene Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
53,Ini,"Opposite Lga Secretariat, Odoro, Ikpe, Ini",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
54,Itu,"Old Party Secretariat, Mbak Atal Item, Itu Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
55,Mbo,"Ibaka Road, Opp. Lga Secretariat",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
56,Mkpatenin,"Mkpat Enin, Mkpat Enin Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
57,Nsit Atai,"Odot, Nsit Atai Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
58,Nsit Ibom,"Afaha Offiong, Nsit, Nsit Ibom Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
59,Nsit Ubium,"Ikot Edibon, Nsit Ubium Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
60,Obot Akara,"Low Cost Housing Estate, Nto Edino, Obot Akara Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
61,Okobo,"Oron Road, Opp. Low Cost Housing Estate, Okobo Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
62,Onna,"Old Sdp Party House, Okat, Onna Lga",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
63,Oron,"1 Barr. J.J. Edem Avenue, Oron",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
64,Oruk Anam,"Beside Lg. Secretariat, Ikot Ibritam, Oruk Anam",,AKWA IBOM STATE,3,AK,161,NG,Nigeria
