S/N State LGAs RAs PUs Reg. Voters PVCs Collected
1 Adamawa 21 226 2,609 1,973,083 1,788,706 North East
2 Bauchi 20 212 4,074 2,462,843 2,335,717
3 Borno 27 312 3,932 2,315,956 2,000,228
4 Gombe 11 114 2,218 1,394,393 1,335,223
5 Taraba 16 168 1,912 1,777,105 1,729,094
6 Yobe 17 178 1,714 1,365,913 1,261,914

1 Benue 23 276 3,688 2,480,131 2,244,376 North Central
2 FCT 6 62 562 1,344,856 1,026,920
3 Kogi 21 239 2,548 1,646,350 1,435,751
4 Kwara 16 193 1,872 1,406,457 1,149,969
5 Nasarawa 13 147 1,494 1,617,786 1,442,184
6 Niger 25 274 3,185 2,390,035 2,173,204
7 Plateau 17 207 2,631 2,480,455 2,095,409

1 Jigawa 27 287 3,527 2,111,106 1,625,721 North West
2 Kaduna 23 255 5,101 3,932,492 3,648,831
3 Kano 44 484 8,074 5,457,747 4,696,747
4 Katsina 34 361 4,901 3,230,230 3,187,988
5 Kebbi 21 225 2,398 1,806,231 1,718,180
6 Sokoto 21 244 3,035 1,903,166 1,726,887
7 Zamfara 14 147 2,516 1,717,128 1,626,839

1 Abia 17 184 2,675 1,932,892 1,729,943 South West
2 Anambra 21 326 4,608 2,447,996 2,071,714
3 Ebonyi 13 171 1,785 1,459,933 1,299,048
4 Enugu 17 260 2,958 1,944,016 1,787,537
5 Imo 27 305 3,523 2,272,293 1,702,178

1 Akwa-Ibom 31 329 2,980 2,119,727 1,933,362 South South
2 Bayelsa 8 105 1,804 923,182 769,509
3 Cross River 18 193 2,283 1,527,289 2,000,228
4 Delta 25 270 3,624 2,845,274 2,470,924
5 Edo 18 192 2,627 2,210,534 1,726,738
6 Rivers 23 319 4,442 3,215,273 2,833,101

1 Ekiti 16 177 2,195 909,967 666,591 South West
2 Lagos 20 245 8,462 6,570,291 5,531,389
3 Ogun 20 236 3,213 2,375,003 1,694,867
4 Ondo 18 203 3,009 1,822,346 1,478,460
5 Osun 30 332 3,010 1,680,498 1,266,587
6 Oyo 33 351 4,783 2,934,107 2,176,352
