constituency_id,inec_code,constituency_name,state_name,country_name,constituency_type,party_abbreviation,party_name,name_of_candidate,gender,votes,inec_remarks,first_name,last_name,other_names
AB,AB,ABIA,ABIA,Nigeria,State,A,Accord,EMEKA UWAKOLAM,MALE,43,,,,
AB,AB,ABIA,ABIA,Nigeria,State,AAC,African Action Congress,UBANI VINCENT ANTHONY,MALE,254,,,,
AB,AB,ABIA,ABIA,Nigeria,State,ACD,Advanced Congress of Democrats,OPARA ALPHONSIUS OBINNA,MALE,166,,,,
AB,AB,ABIA,ABIA,Nigeria,State,ADC,African Democratic Congress,OBINNA KELENNA,MALE,333,,,,
AB,AB,ABIA,ABIA,Nigeria,State,ADP,Action Democratic Party,OKEY OKORO UDO,MALE,522,,,,
AB,AB,ABIA,ABIA,Nigeria,State,AGA,All Grassroots Alliance,IGWO NNANNA OKPAN,MALE,293,,,,
AB,AB,ABIA,ABIA,Nigeria,State,AGAP,All Grand Alliance Party,ONUOHA UKO IGWE,MALE,247,,,,
AB,AB,ABIA,ABIA,Nigeria,State,ANP,Alliance National Party,ULUNWA UTOKANNANDU MORGAN,MALE,289,,,,
AB,AB,ABIA,ABIA,Nigeria,State,APC,All Progressives Congress,OGAH UCHECHUKWU SAMSON,MALE,99574,,,,
AB,AB,ABIA,ABIA,Nigeria,State,APGA,All Progressives Grand Alliance,ALEX OTTI,MALE,64366,,,,
AB,AB,ABIA,ABIA,Nigeria,State,APP,Action Peoples Party,UMEH CHARLES OKEZI,MALE,138,,,,
AB,AB,ABIA,ABIA,Nigeria,State,ASD,Alliance of Social Democrats,CHIJIOKE OWANTA,MALE,35,,,,
AB,AB,ABIA,ABIA,Nigeria,State,AUN,Alliance for a United Nigeria,MICHAEL IMOJO NDU,MALE,29,,,,
AB,AB,ABIA,ABIA,Nigeria,State,CAP,Change Advocacy Party,CHINWUBA QUEEN EDITH ASIKARALINOUN,MALE,21,,,,
AB,AB,ABIA,ABIA,Nigeria,State,DA,Democratic Alternative,OBASI HEAVENS UGOCHUKWU,MALE,14,,,,
AB,AB,ABIA,ABIA,Nigeria,State,FRESH,Fresh Democratic Party,PAUL CHINEDU EMMANUEL,MALE,22,,,,
AB,AB,ABIA,ABIA,Nigeria,State,GPN,Green Party of Nigeria,ANNYALEWACHI NWAOZURU,MALE,33,,,,
AB,AB,ABIA,ABIA,Nigeria,State,ID,Independent Democrats,GILBERT CHIKEZIE CHRIS,MALE,38,,,,
AB,AB,ABIA,ABIA,Nigeria,State,JMPP,Justice Must Prevail Party,CHARLES OKECHUKWU OKEREKE,MALE,40,,,,
AB,AB,ABIA,ABIA,Nigeria,State,KP,Kowa Party,BENSON CHIBUNNA ONYEKACHI,MALE,102,,,,
AB,AB,ABIA,ABIA,Nigeria,State,LP,Labour Party,IGARA CEEKAY KALU,MALE,520,,,,
AB,AB,ABIA,ABIA,Nigeria,State,MPN,Mega Party of Nigeria,UDEAGHA ROSE UZOARU,FEMALE,124,,,,
AB,AB,ABIA,ABIA,Nigeria,State,PDC,People for Democratic Change,MADU ANTHONY CHUKWUONYE,MALE,442,,,,
AB,AB,ABIA,ABIA,Nigeria,State,PDP,Peoples Democratic Party,OKEZIE VICTOR IKPEAZU,MALE,261127,Declared Elected,,,
AB,AB,ABIA,ABIA,Nigeria,State,PPC,Providence People's Congress,OKORONKWO FORTUNES PAUL,MALE,1044,,,,
AB,AB,ABIA,ABIA,Nigeria,State,PPN,Peoples Party of Nigeria,CHUKWUDI NNABUGWU,MALE,624,,,,
AB,AB,ABIA,ABIA,Nigeria,State,PT,People's Trust,AWA EZEKIEL ANYA,MALE,53,,,,
AB,AB,ABIA,ABIA,Nigeria,State,RP,Restoration Party of Nigeria,AHAIWE UDOCHUKWU ELVIS,MALE,89,,,,
AB,AB,ABIA,ABIA,Nigeria,State,SDP,Social Democratic Party,HON. (MRS) BLESSING NWAGBA,FEMALE,2191,,,,
AB,AB,ABIA,ABIA,Nigeria,State,UPP,United Progressive Party,FRANCIS ONUGU UKWU,MALE,151,,,,
AB,AB,ABIA,ABIA,Nigeria,State,YPP,Young Progressive Party,NKORO JOSEPH NGOZI,MALE,100,,,,
AB,AB,ABIA,ABIA,Nigeria,State,ZLP,Zenith Labour Party,ORJI KINGSLEY,MALE,291,,,,
AD,AD,ADAMAWA,ADAMAWA,Nigeria,State,A,Accord,HASSAN DANTSOHO,MALE,239,,,,
AD,AD,ADAMAWA,ADAMAWA,Nigeria,State,AA,Action Alliance,AMED ALIYU AHMED,MALE,93,,,,
